keyword,category,rank
collection,auto_discovered,1
property,auto_discovered,2
cluster,auto_discovered,3
infrastructure,auto_discovered,4
specifi,auto_discovered,5
characteristic,auto_discovered,6
participant,auto_discovered,7
fear,manual_seed,8
document,auto_discovered,9
ration,auto_discovered,10
career,auto_discovered,11
organization,auto_discovered,12
counseling,manual_seed,13
barrier,auto_discovered,14
wellbeing,manual_addition,15
definition,auto_discovered,16
correlation,auto_discovered,17
asylum,auto_discovered,18
behavior,auto_discovered,19
insomnia,manual_seed,20
involuntary,auto_discovered,21
adjustment,auto_discovered,22
outcome,auto_discovered,23
comprise,auto_discovered,24
locate,auto_discovered,25
approve,auto_discovered,26
ity,auto_discovered,27
responsible,auto_discovered,28
type,auto_discovered,29
hear,auto_discovered,30
health,manual_seed,31
physical,auto_discovered,32
burnout,manual_seed,33
student,manual_seed,34
coping,manual_addition,35
proportion,auto_discovered,36
extreme,auto_discovered,37
cancer,auto_discovered,38
expression,auto_discovered,39
pharmaceutical,auto_discovered,40
improved,auto_discovered,41
participate,auto_discovered,42
stress,manual_seed,43
fitness,auto_discovered,44
longitudinal,auto_discovered,45
psycinfo,auto_discovered,46
recommend,auto_discovered,47
athlete,manual_seed,48
therapy,manual_seed,49
collaboration,auto_discovered,50
duty,auto_discovered,51
instrument,auto_discovered,52
related,auto_discovered,53
resilience,manual_addition,54
hispanic,auto_discovered,55
acute,auto_discovered,56
fatigue,manual_seed,57
late,auto_discovered,58
cannabis,auto_discovered,59
standardized,auto_discovered,60
mhgap,auto_discovered,61
sensitivity,auto_discovered,62
exacerbate,auto_discovered,63
man,auto_discovered,64
carry,auto_discovered,65
delay,auto_discovered,66
presentation,auto_discovered,67
rumination,manual_addition,68
disparity,auto_discovered,69
anti,auto_discovered,70
worry,auto_discovered,71
principal,auto_discovered,72
motivation,auto_discovered,73
hard,auto_discovered,74
stigma,auto_discovered,75
comorbid,auto_discovered,76
write,auto_discovered,77
interpersonal,auto_discovered,78
trauma,manual_seed,79
minor,auto_discovered,80
outpatient,auto_discovered,81
identity,auto_discovered,82
member,auto_discovered,83
coexist,auto_discovered,84
comparison,auto_discovered,85
worker,manual_seed,86
involve,auto_discovered,87
drug,auto_discovered,88
die,auto_discovered,89
attempt,auto_discovered,90
centre,auto_discovered,91
dence,auto_discovered,92
prediction,auto_discovered,93
infected,auto_discovered,94
pastor,auto_discovered,95
facilitation,auto_discovered,96
reform,auto_discovered,97
press,auto_discovered,98
problematic,auto_discovered,99
isolation,manual_seed,100
panic,manual_seed,101
result,auto_discovered,102
anxiety,manual_seed,103
sdq,auto_discovered,104
utilize,auto_discovered,105
isolated,auto_discovered,106
later,auto_discovered,107
decision,auto_discovered,108
anxietydisorder,auto_discovered,109
depression,manual_seed,110
cause,auto_discovered,111
healthcare,auto_discovered,112
medical,auto_discovered,113
course,auto_discovered,114
square,auto_discovered,115
style,auto_discovered,116
consortium,auto_discovered,117
mit,auto_discovered,118
policy,auto_discovered,119
budget,auto_discovered,120
sector,auto_discovered,121
swedish,auto_discovered,122
medication,manual_seed,123
select,auto_discovered,124
remote,auto_discovered,125
suicidal,manual_seed,126
sedentary,auto_discovered,127
memory,auto_discovered,128
hopeless,manual_seed,129
disaster,auto_discovered,130
condition,auto_discovered,131
med,auto_discovered,132
adolescents,manual_seed,133
prejudice,auto_discovered,134
touch,auto_discovered,135
initiative,auto_discovered,136
sexual,auto_discovered,137
location,auto_discovered,138
dis,auto_discovered,139
module,auto_discovered,140
disorder,auto_discovered,141
support,manual_seed,142
restriction,auto_discovered,143
conference,auto_discovered,144
white,auto_discovered,145
identification,auto_discovered,146
flexibility,auto_discovered,147
monitoring,auto_discovered,148
pvalue,auto_discovered,149
ecological,auto_discovered,150
