Node,Betweenness
health,0.07983580333961429
support,0.07527237457806914
result,0.049604155283517554
disorder,0.04716105097530199
participant,0.04711781266289091
anxiety,0.0444009691422543
depression,0.0423532033288962
outcome,0.04074309891509158
stress,0.03520839615396736
condition,0.03210235264520187
medical,0.03199228323702781
student,0.03175359848297811
policy,0.028820681938675444
type,0.026114168378061645
comparison,0.02559940370382293
behavior,0.02395507480383192
physical,0.023760421085081897
member,0.02178399816512957
therapy,0.021763061317507135
characteristic,0.021737979142853973
fear,0.01750854476595995
involve,0.01720131585712961
related,0.016153393876829902
healthcare,0.015054283114212672
longitudinal,0.014744452225691856
drug,0.012762754079730381
cause,0.012617923563137892
worker,0.012503027640035304
resilience,0.011365650434682715
isolation,0.010988659364061746
